Date,Town,Latitude,Longitude,County
2018-03-26,Mansfield,32.6,-97.1,Richland County.
2017-08-15,Houston,30.0,-95.6,Harris County
2020-09-29,Macungie,40.5,-75.6,Lehigh
2021-08-31,Seguin,29.5,-98.0,Guadalupe County
2023-08-01,Schenectady,42.8,-73.9,Schenectady County
2017-04-02,Keller,32.9,-97.2,Tarrant County
2018-02-09,Tavernier,25.0,-80.6,Monroe County
2017-05-08,St. Augustine,29.9,-81.3,St. Johns County
2019-10-05,Champaign,40.1,-88.3,Champaign County
2019-09-30,Chicago,41.9,-87.7,Cook County
2021-10-17,Sun Prairie,43.1,-89.3,Dane County
2021-08-03,Batavia,41.8,-88.3,Genesee County
2021-06-14,Chelsea,36.5,-95.4,Suffolk
2021-07-07,Renovo,41.4,-77.7,Clinton County
2019-09-21,Endicott,42.1,-76.0,Broome County
2020-09-13,Willowbrook,41.8,-87.9,Los Angeles County
2023-07-18,Birmingham,42.5,-83.2,West Midlands
2017-09-05,Owasso,36.3,-95.9,Tulsa County
2021-07-27,Milton,41.7,-74.0,Santa Rosa County
2023-08-16,Kasson,44.0,-92.7,Dodge County
2022-09-29,Tallahassee,30.4,-84.2,Leon County
2023-08-04,Chicago,42.0,-87.8,Cook County
2020-09-21,Midland,32.0,-102.2,Midland County
2024-09-12,Waverly,39.6,-90.0,Bremer County
2021-10-05,Madison,43.1,-89.3,Dane County
2017-06-04,Waukegan,42.4,-87.9,Lake County
2018-07-28,Woodbury,41.4,-74.1,Washington County
2019-08-15,Saint Paul,44.9,-93.1,Ramsey County
2020-09-02,Tulsa,36.1,-95.9,Tulsa County
2021-08-16,Oklahoma City,35.5,-97.6,Oklahoma County
2019-08-16,Monmouth,41.0,-90.6,Monmouthshire
2024-09-01,Sylvan Beach,43.2,-75.7,Oneida County
2023-08-15,New York,40.7,-73.9,New York County
2021-08-12,Carrollton,33.0,-96.9,Carrollton is in Carroll County.
2018-10-30,Boerne,29.8,-98.7,Kendall County
2019-10-15,Monroeville,40.4,-79.8,Monroe County.
2021-10-06,Edmond,35.6,-97.5,Oklahoma County
2021-08-31,San Antonio,29.4,-98.5,Bexar County
2021-03-24,Montgomery,30.4,-95.8,Montgomery County
2020-07-14,South Milwaukee,42.9,-87.9,Milwaukee County
2020-08-19,Owasso,36.3,-95.8,Rogers County
2023-03-01,Edgewater,28.9,-80.9,Volusia County
2021-01-14,Fort Myers,26.5,-81.8,Lee County
2019-10-18,Nescopeck,41.1,-76.2,Luzerne County
2018-10-31,West Lake Hills,30.3,-97.8,Travis County
2017-11-24,Houston,29.8,-95.6,Harris County
2021-03-16,Estero,26.4,-81.8,Lee County
2023-01-19,West Palm Beach,26.8,-80.0,Palm Beach County
2022-09-13,Saginaw,43.4,-84.0,Saginaw County
2020-02-20,North Fort Myers,26.7,-81.9,Lee County
2019-10-07,Edmond,35.7,-97.5,Oklahoma County
2021-12-28,Houston,29.7,-95.4,Harris County
2020-06-08,Minneapolis,44.9,-93.2,Hennepin County
2021-11-04,Blanco,30.0,-98.3,Blanco County
2021-08-22,Denton,33.2,-97.1,Denton County
2022-04-06,Houston,29.8,-95.5,Harris County
2017-11-18,Mount Pleasant,33.2,-95.0,Charleston County
2022-01-17,Melbourne,28.1,-80.6,Brevard County
2018-09-16,Stigler,35.2,-95.5,Haskell County
2022-07-26,Arden Hills,45.0,-93.2,Ramsey County
2018-08-30,Oneonta,42.4,-75.0,Otsego County
2024-09-09,Montgomery,30.4,-95.8,Montgomery County
2021-09-22,Edmond,35.7,-97.5,Oklahoma County.
2021-07-28,Allegan,42.5,-85.9,Allegan County
2020-10-14,Douglassville,33.2,-94.4,Berks County
2021-09-04,Minneapolis,45.0,-93.2,Hennepin County
2019-10-24,Baldwinsville,43.2,-76.4,Onondaga County
2018-07-24,Andover,45.2,-93.4,Hampshire
2022-07-19,Fishkill,41.5,-74.0,Dutchess
2021-10-08,Baraboo,43.5,-89.8,Sauk County
2018-11-15,Willis,30.4,-95.6,Montgomery County
2021-10-12,Glenpool,35.9,-96.0,Tulsa County
2021-06-11,Milwaukee,43.1,-88.0,Milwaukee County
2018-07-16,Shirley,40.8,-72.9,Suffolk County
2021-08-16,Georgetown,30.6,-97.7,Williamson County
2017-09-15,West Bend,43.4,-88.2,Washington County
2024-09-17,Hoosick Falls,42.9,-73.3,Rensselaer County.
2019-10-15,West Chicago,41.9,-88.2,DuPage County
2021-12-24,Houston,29.8,-95.4,Harris County.
2019-08-16,Itasca,42.0,-88.0,DuPage County.
2019-10-15,Wynnewood,40.0,-75.3,Montgomery County
2018-09-24,North Tonawanda,43.0,-78.9,Niagara County
2021-07-01,Minneapolis,45.0,-93.2,Hennepin
2024-09-27,York,39.9,-76.7,York County
2021-04-20,San Antonio,29.5,-98.4,Bexar
2022-08-01,Lino Lakes,45.1,-93.1,Anoka County
2023-07-14,Spring Green,43.2,-90.1,Sauk County
2019-08-18,Barnesville,46.7,-96.4,Lamar County
2022-10-04,Tulsa,36.1,-95.9,Tulsa County
2023-09-03,Yonkers,40.9,-73.9,Westchester County
2021-09-25,Syracuse,43.0,-76.2,Onondaga County
2020-08-01,El Reno,35.5,-98.0,Canadian County
2021-07-20,Broken Arrow,36.1,-95.8,Tulsa County
2021-06-09,Minneapolis,45.2,-93.3,Hennepin County
2018-10-14,West Lake Hills,30.3,-97.8,Travis County
2024-08-04,Paynesville,46.5,-89.1,Stearns County
2018-08-23,Flossmoor,41.5,-87.7,Cook County
2021-11-23,Pensacola,30.4,-87.2,Escambia County
2019-10-13,Dallas,32.8,-96.8,Dallas County
2023-08-06,Inverness,42.1,-88.1,Highland
2023-08-04,Winnetka,42.1,-87.8,Cook County
2020-08-18,Harrisville,44.6,-83.3,Weber County.
2019-10-13,Burleson,32.5,-97.3,Johnson County
2020-05-30,Allenton,43.4,-88.4,Washington County
2017-04-01,Jacksonville,30.4,-81.5,Duval County
2022-08-07,Hinsdale,41.8,-87.9,DuPage County
2022-03-24,Houston,29.9,-95.4,Harris County
2019-07-21,Rockford,45.1,-93.7,Winnebago County
2018-10-18,Little Elm,33.2,-96.9,Denton County
2020-10-07,Pflugerville,30.4,-97.6,Travis County
2019-09-02,Granbury,32.4,-97.7,Hood County
2019-06-27,Evanston,42.0,-87.7,Cook County
2022-07-29,Germantown,43.2,-88.1,Montgomery County
2018-07-10,Houston,30.0,-95.6,Harris County
2017-07-09,York,39.9,-76.7,North Yorkshire
2019-11-01,Austin,30.3,-97.7,Travis County
2023-07-29,St Paul,44.9,-93.2,Ramsey County
2019-11-01,Howe,35.0,-94.6,Grayson County
2021-05-08,Georgetown,30.6,-97.7,Williamson County.
2023-09-11,Rockford,42.3,-89.0,Winnebago County
2019-08-18,Wyncote,40.1,-75.1,Montgomery County
2018-08-27,Corpus Christi,27.8,-97.4,Nueces County
2017-10-19,Whitesboro,43.1,-75.3,Oneida County
2022-01-23,Lady Lake,28.9,-81.9,Lake County
2022-09-22,Plainfield,41.7,-88.2,Union County
2021-08-27,Broken Arrow,36.1,-95.7,Tulsa County
2017-10-06,Boerne,29.8,-98.6,Kendall County
2021-06-22,Rockford,42.3,-89.0,Winnebago County
2021-08-01,Downers Grove,41.8,-88.0,DuPage
2022-05-23,Wellington,26.7,-80.3,Wellington City
2019-11-05,Brenham,30.2,-96.4,Washington County
2020-05-19,Destin,30.4,-86.4,Okaloosa County
2022-07-30,New London,44.3,-88.8,New London County
2021-10-02,Oklahoma City,35.6,-97.6,Oklahoma County
2023-08-06,Evansville,42.8,-89.3,Vanderburgh County.
2019-08-11,Town of Southold,41.0,-72.4,Suffolk County
2022-10-14,Media,39.9,-75.4,Delaware County
2021-12-28,West Palm Beach,26.8,-80.1,Palm Beach County
2022-09-11,Thief River Falls,48.1,-96.4,Pennington County
2019-08-22,Sauk City,43.3,-89.8,Sauk County
2021-06-19,Deforest,43.2,-89.3,Dane County
2023-11-14,San Antonio,29.5,-98.5,Bexar County
2019-03-18,Austin,30.4,-97.8,Travis County
2020-08-19,Edmond,35.6,-97.5,Oklahoma County
2023-02-28,Sebring,27.5,-81.4,Highlands County
2018-09-12,Saint Paul,45.0,-93.1,Ramsey County
2023-09-09,Tulsa,36.1,-95.9,Tulsa County
2021-07-29,Round Rock,30.5,-97.7,Williamson County
2024-09-21,Otsego,45.3,-93.6,Wright County
2023-10-19,Alvin,29.4,-95.2,Brazoria County
2019-07-23,Saint Charles,43.3,-84.1,St. Charles County
2021-06-01,South Milwaukee,42.9,-87.9,Milwaukee County
2021-09-27,Bourbonnais,41.2,-87.9,Kankakee County
2018-09-01,Minneapolis,44.9,-93.3,Hennepin County
2021-07-24,Kalamazoo,42.3,-85.6,Kalamazoo County
2019-09-07,Lansing,42.7,-84.6,Ingham
2023-10-04,Versailles,39.9,-90.7,Woodford County
2021-01-02,Coral Springs,26.3,-80.3,Broward County
2022-07-22,Hackensack,47.0,-94.4,Bergen County
2017-12-22,Crawfordville,30.2,-84.4,Wakulla County
2021-12-01,Dallas,32.9,-96.8,Dallas County
2021-10-14,Sterling Heights,42.6,-83.0,Macomb
2024-09-19,Burnsville,44.8,-93.3,Dakota County
2022-11-06,Lovelady,31.1,-95.5,Houston County
2019-06-12,Saint Paul,45.1,-93.2,Ramsey County
2021-11-29,St. Petersburg,27.7,-82.7,Pinellas County
2020-03-23,Austin,30.3,-97.8,Travis County
2020-03-10,Fort Myers,26.5,-81.8,Lee County
2021-03-15,South Padre Island,26.1,-97.2,Cameron County.
2018-04-10,Fort Hood,31.3,-97.7,Bell County
2018-09-11,Brookfield,43.0,-88.2,Cook County
2019-07-26,Big Rapids Twp,43.7,-85.6,Mecosta County
2019-07-01,Allenton,43.4,-88.4,Washington County.
2021-10-11,Dallas,32.8,-96.8,Dallas County
2019-03-13,San Marcos,29.9,-97.9,Hays County
2021-04-08,Deland,29.0,-81.3,Volusia County
2018-09-26,Johnson Creek,43.1,-88.8,Jefferson County
2023-09-25,Plano,33.0,-96.7,Collin County.
2021-10-26,Plano,33.0,-96.7,Collin County
2017-09-07,Kyle,30.0,-97.9,Hays
2021-09-27,New Cumberland,40.2,-76.9,Cumberland County
2021-10-10,Abilene,32.4,-99.7,Taylor County
2020-10-19,Austin,30.3,-97.8,Travis County
2023-06-01,Porterfield,45.2,-87.8,Marinette County
2020-08-18,Eau Claire,41.1,-79.8,Eau Claire County
2022-04-07,Groesbeck,31.5,-96.6,Limestone County
2017-09-28,Pond Creek,36.7,-97.8,Grant County
2017-09-26,Midland,32.0,-102.1,Midland County
2019-08-24,Harrisville,41.2,-80.0,Wetzel County
2024-05-08,Brookfield,43.1,-88.1,Cook County
2020-09-07,Bloomsburg,41.0,-76.4,Columbia County
2024-09-30,Glen Rose,32.1,-97.9,Somervell County
2020-04-05,Fredericksburg,30.5,-98.8,Spotsylvania County
2018-08-14,Greenport,41.1,-72.4,Suffolk County
2022-08-10,Ann Arbor,42.3,-83.7,Washtenaw County
2024-09-04,Muskegon,43.2,-86.3,Muskegon County.
2022-10-03,Edmond,35.7,-97.5,Oklahoma County
2021-08-01,Edmond,35.7,-97.6,Oklahoma County
2017-08-19,Waconia,44.8,-93.8,Carver County
2022-07-30,Woodridge,41.7,-88.1,DuPage County
2023-11-07,Fulshear,29.6,-95.9,Fort Bend County
2021-04-20,Pawnee,36.3,-96.8,Pawnee County
2020-03-18,Terrell,32.8,-96.3,Kaufman County.
2021-10-13,Urbana,40.1,-88.2,Champaign County
2021-05-06,Cedar Creek,30.1,-97.5,Bastrop County
2020-12-07,South Padre Island,26.1,-97.2,Cameron County
2020-11-09,Arlington,32.7,-97.2,Tarrant County
2021-12-04,Plano,33.0,-96.7,Collin County
2024-09-21,Port Ewen,41.9,-74.0,Ulster County
2020-09-03,Mannsville,43.7,-76.2,Johnston County
2022-07-12,Inlet,43.8,-74.8,Hamilton
2024-08-22,Allenton,42.9,-82.9,Washington County
2017-11-15,Rockport,28.2,-97.0,Aransas County
2018-09-19,Enid,36.4,-97.9,Garfield County
2017-10-03,Enid,36.4,-97.9,Garfield County
2021-11-06,Mcveytown,40.5,-77.8,Mifflin County
2021-10-26,Midlothian,32.5,-97.0,Ellis County.
2020-10-08,Noble,35.1,-97.4,Cleveland County
2018-10-26,Little Elm,33.2,-96.9,Denton County
2023-08-22,Minneapolis,45.0,-93.2,Hennepin County
2022-09-19,Mcveytown,40.5,-77.8,Mifflin County
2022-05-06,Oakland,29.6,-96.8,Alameda
2021-12-08,San Antonio,29.6,-98.5,Bexar County
2024-07-07,Wauwatosa,43.1,-88.0,Milwaukee County
2022-11-15,Media,39.9,-75.4,Delaware County
2021-12-24,Vero Beach,27.6,-80.4,Indian River County
2022-09-10,Chicago,42.0,-87.7,Cook County
2019-08-29,Minneapolis,44.9,-93.3,Hennepin County
2020-03-15,Crockett,31.3,-95.4,Houston County
2022-01-10,Austin,30.4,-97.7,Travis County
2020-10-09,Harrisville,44.6,-83.3,Providence County
2017-10-12,The Colony,33.1,-96.9,Denton County
2017-09-15,San Antonio,29.4,-98.5,Bexar County
2021-09-15,Odessa,31.9,-102.3,Ector County
2019-10-15,Austin,30.3,-97.8,Travis County
2023-12-01,Hutto,30.5,-97.6,Williamson
2017-09-10,Lawton,34.6,-98.5,Comanche County
2019-09-10,Saint Paul,45.0,-93.2,Ramsey County
2018-09-10,Andover,45.2,-93.3,Hampshire
2017-07-12,Indian Lake,43.8,-74.3,Logan County
2018-04-29,Edmond,35.7,-97.5,Oklahoma County
2019-06-07,Big Rapids,43.7,-85.6,Mecosta County
2021-09-25,Kalamazoo,42.3,-85.6,Kalamazoo County
2019-09-04,Minneapolis,45.1,-93.2,Hennepin County
2021-09-30,Schwenksville,40.2,-75.5,Montgomery County
2018-09-15,Scranton,41.4,-75.7,Lackawanna County
2020-08-26,New Cumberland,40.2,-76.9,Hancock County
2020-10-21,Mechanicsburg,40.2,-77.0,Cumberland County
2023-05-02,Calera,33.9,-96.4,Shelby County
2021-08-26,Deerfield,43.1,-89.1,Lake County
2024-09-03,Ada,34.8,-96.7,Pontotoc County
2022-08-22,Pinconning,43.9,-84.0,Bay County
2023-08-03,Monroe,41.3,-74.2,Union County
2020-10-24,Austin,30.3,-97.8,Travis
2021-10-08,Fairfield,39.7,-77.4,Fairfield is in Solano County.
2019-08-10,Saint Paul,44.9,-93.1,Ramsey County
2019-09-15,Grosse Pointe,42.4,-82.9,Wayne County
2021-07-22,Saint Paul,45.1,-93.2,Ramsey County
2023-10-04,Chandler,32.3,-95.5,Maricopa County
2024-09-19,Broken Arrow,36.1,-95.7,Tulsa County
2018-10-29,Willis,30.4,-95.6,Montgomery County
2020-08-18,Wynnewood,40.0,-75.3,Montgomery County
2018-09-04,Madison,43.0,-89.4,Dane County
2023-09-09,Comstock Twp,42.3,-85.5,Kalamazoo County
2021-04-24,Edmond,35.7,-97.5,Oklahoma County
2022-09-03,Broken Arrow,36.0,-95.8,Tulsa County
2019-10-08,Mckinney,33.2,-96.6,Collin County
2017-10-13,DeLand,29.0,-81.3,Volusia
2017-10-21,Tulsa,36.1,-96.0,Tulsa County
2021-12-20,Fort Worth,32.8,-97.2,Tarrant County
2023-08-16,Hudson,45.0,-92.7,Columbia County
2024-09-09,Norman,35.2,-97.4,Cleveland County.
2017-06-09,Pequot Lakes,46.7,-94.2,Crow Wing County
2020-08-29,Marble Falls,30.6,-98.3,Burnet County
2019-10-08,Oklahoma City,35.5,-97.6,Oklahoma County
2024-07-28,Suttons Bay,45.0,-85.7,Leelanau County
2022-10-06,Halifax,40.4,-77.0,West Yorkshire
2019-08-28,Minneapolis,44.9,-93.3,Hennepin County
2022-10-04,De Kalb,33.5,-94.6,Buchanan County
2020-09-16,Wynnewood,40.0,-75.3,Montgomery County
2020-09-16,Saugatuck,42.7,-86.2,Allegan County
2019-09-11,Chestertown,43.6,-73.8,Kent County.
2019-09-18,Lake Park,46.7,-96.1,Palm Beach County
2021-09-09,Dallas,32.9,-96.7,Dallas County
2017-07-04,Westbury,40.7,-73.6,Nassau County
2018-10-27,Abilene,32.4,-99.7,Taylor County
2019-09-15,Dryden,42.9,-83.1,Noble County
2019-11-10,Ocala,29.2,-82.1,Marion County
2018-10-08,East Meadow,40.7,-73.6,Nassau County
2023-08-23,Oklahoma City,35.6,-97.5,Oklahoma County
2021-10-29,Monticello,30.4,-84.0,White County
2017-10-12,Live Oak,29.6,-98.3,Suwannee County
2022-08-13,Gainesville,29.7,-82.3,Alachua County
2021-12-01,Houston,29.9,-95.6,Harris County
2021-09-14,Marble Falls,30.5,-98.2,Burnet
2017-08-27,Madison,43.1,-89.3,Dane County
2019-08-17,El Paso,31.9,-106.6,El Paso County
2024-08-18,Odessa,31.9,-102.3,Ector County
2018-10-10,Warren,41.8,-79.1,Trumbull County
2019-08-09,Madison,43.1,-89.3,Dane County
2020-07-22,Mabel,43.5,-91.9,Fillmore County
2020-12-13,Clearwater,28.0,-82.7,Pinellas County
2017-07-09,Black Wolf,44.0,-88.4,Winnebago County
